租金,押金,户型,面积,朝向,楼层,装修,类型,小区,街道,房屋编码,更新时间
1400,付1押1,1室0厅1卫,20平方米,朝南,中层(共18层),精装修,普通住宅,喜峰嘉园,河北 宁园街,3113269581751301,2023年07月16日
1400,付1押1,1室0厅1卫,35平方米,南北,低层(共7层),精装修,普通住宅,悦雅花园(AC区),AC区,3108231846667272,2023年07月16日
1500,付1押1,1室1厅1卫,50平方米,朝南,低层(共10层),精装修,普通住宅,盛庭名景花园,北辰 瑞景街,3113021702414349,2023年07月16日
2100,年付,2室1厅1卫,81平方米,南北,低层(共6层),精装修,普通住宅,滨河新苑,河东 富民路,3106253193831437,2023年07月16日
2000,付3押1,1室1厅1卫,68平方米,南北,低层(共17层),精装修,普通住宅,碧海鸿庭,塘沽 塘沽新村街,3110709670568968,2023年07月16日
1500,付1押1,1室0厅1卫,40平方米,朝南,低层(共18层),精装修,普通住宅,保富国际,西青 新梅江南,3111568279774212,2023年07月16日
1600,付3押1,2室1厅1卫,94平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3108767366029315,2023年07月16日
2550,付3押1,1室1厅1卫,48平方米,朝南,中层(共7层),精装修,普通住宅,金田花园,河北 望海楼街,3114440777113609,2023年07月16日
1700,付1押1,1室0厅1卫,40平方米,朝南,高层(共31层),精装修,普通住宅,王顶堤家园,西青 中北,3110382134352904,2023年07月16日
1400,付1押1,1室1厅1卫,35平方米,朝南,高层(共6层),精装修,普通住宅,流霞东里,红桥 西于庄街,3113218100912133,2023年07月16日
2200,付3押1,2室1厅1卫,91平方米,朝南,高层(共32层),精装修,普通住宅,贻成豪庭,塘沽 工农村街,3109284503035912,2023年07月16日
1600,付3押1,1室1厅1卫,69平方米,朝南,高层(共30层),精装修,普通住宅,远洋城滨愉花园,塘沽 胡家园街,3113403021026319,2023年07月16日
2150,付3押1,2室1厅1卫,83.1平方米,南北,中层(共6层),简单装修,普通住宅,先锋公寓,东丽 津塘路,3111894229574658,2023年07月16日
1550,付3押1,1室1厅1卫,38平方米,朝南,中层(共6层),简单装修,普通住宅,临营西里,河东 常州道,3077841359578121,2023年07月16日
1600,付3押1,2室1厅1卫,98平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3100629671157766,2023年07月16日
1500,付3押1,2室1厅1卫,77平方米,朝南,低层(共30层),精装修,普通住宅,星耀五洲澜海庄园,津南 津南八里台,3110477007020038,2023年07月16日
2000,付3押1,2室2厅1卫,92平方米,南北,高层(共32层),精装修,普通住宅,雅晟轩,津南 咸水沽,3107419530502145,2023年07月16日
2500,付1押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,华宁北里,南开 天拖南,3111763970972674,2023年07月16日
2000,付3押1,2室2厅1卫,74平方米,朝南,中层(共29层),精装修,普通住宅,晴景家园,塘沽 工农村街,3113385382126600,2023年07月16日
13000,付3押1,3室2厅1卫,113.8平方米,朝南,中层(共16层),精装修,普通住宅,格普澜轩,和平 新兴街,3113055645147140,2023年07月16日
1850,付3押1,2室1厅1卫,65平方米,东北,高层(共24层),精装修,普通住宅,富瀛洲花园,河北 建昌道街,3096387752221711,2023年07月16日
3000,付3押1,2室2厅1卫,91平方米,朝南,中层(共7层),精装修,普通住宅,盛海公寓,河北 光复道街,3110178317803524,2023年07月16日
1600,付3押1,2室1厅1卫,60平方米,南北,中层(共6层),简单装修,普通住宅,建昌里,河北 建昌道街,3105068281028613,2023年07月16日
2100,付1押1,1室1厅1卫,45平方米,朝南,低层(共10层),精装修,普通住宅,紫乐名轩,河东 一号桥,3104926430536717,2023年07月16日
7000,付3押1,2室1厅1卫,95平方米,朝南,中层(共41层),精装修,公寓,融创星河和平印,和平 南营门,2912590490983435,2023年07月16日
1300,付3押1,1室1厅1卫,38平方米,南北,高层(共6层),精装修,普通住宅,惠安里,塘沽 塘沽新村街,3110152170807311,2023年07月16日
2000,面议,1室1厅1卫,66.4平方米,朝南,中层(共28层),精装修,普通住宅,赵沽里新苑,东丽 大毕庄镇,3106309037268998,2023年07月16日
2000,面议,1室1厅1卫,47平方米,朝南,高层(共9层),精装修,普通住宅,第六大道俊东公寓,河东 上杭路,3111789909958657,2023年07月16日
2300,付3押1,2室2厅1卫,96.5平方米,朝南,高层(共18层),精装修,普通住宅,雪优花园,东丽 华明镇,3104999809965069,2023年07月16日
1500,付3押1,2室1厅1卫,83.7平方米,朝南,中层(共6层),精装修,普通住宅,红霞里(津南),津南,3101653949734927,2023年07月16日
4000,付3押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,健春里,河西 越秀路,3113448770167822,2023年07月16日
1300,付1押1,1室1厅1卫,35平方米,朝南,中层(共6层),精装修,普通住宅,梨秀园,西青 新梅江南,3107327446081550,2023年07月16日
2400,付3押1,2室1厅1卫,96平方米,南北,中层(共6层),精装修,普通住宅,侯台家园,西青 侯台,3110181916483586,2023年07月16日
1800,付1押1,1室1厅1卫,40平方米,南北,中层(共6层),精装修,普通住宅,晋宁北里,南开 天拖南,3086097443251205,2023年07月16日
2600,面议,3室2厅1卫,92平方米,南北,高层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3109295219563528,2023年07月16日
1600,付1押1,1室0厅1卫,33平方米,朝南,低层(共26层),精装修,普通住宅,中汇大厦,河北 鸿顺里街,3111813153382415,2023年07月16日
2400,付3押1,2室2厅1卫,95平方米,南北,低层(共22层),精装修,普通住宅,航天家园雅馨园,开发区 中新生态城,3113819482250240,2023年07月16日
1600,付3押1,1室1厅1卫,50平方米,南北,高层(共6层),精装修,普通住宅,千间宿舍二段,塘沽 新港街,3113068827828230,2023年07月16日
